id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q108857904,President of Barbados,Q244,Q244,,,2021-11-30,,Q1261556,,President of Barbados
Q1261556,Governor-General of Barbados,Q244,Q244,,,1966-11-30,2021-11-30,,Q108857904,Governor-General of Barbados
Q15921525,Prime Minister of Barbados,Q244,Q244,,Q1137950,1968-11-18,,,,Prime Minister of Barbados
Q113162840,Deputy Prime Minister of Barbados,Q244,Q244,,,,,,,
Q113162809,Senior Minister of Barbados,Q244,Q244,,,,,,,
Q107718264,Minister of Agriculture and Food Security,,Q244,,,,,,,
Q107718266,"Minister of Creative Economy, Culture and Sports",,Q244,,,,,,,
Q107718283,"Minister of Education, Technological and Vocational Training",,Q244,,,,,,,
Q107718268,Minister of Energy of Barbados,,Q244,,,,,,,
Q107718247,Minister of Environment and National Beautification,,Q244,,,,,,,
Q113162861,Minister of Finance of Barbados,Q244,Q244,,,,,,,
Q107718240,Minister of Foreign Affairs and Foreign Trade,,Q244,,,,,,,
Q107718231,Minister of Health and Wellness,,Q244,,,,,,,
Q113162757,Minister of Home Affairs and Information,,Q244,,,,,,,
Q113162851,"Minister of Housing, Lands and Maintenance",Q244,Q244,,,,,,,
Q107718285,"Minister of Information, Broadcasting and Public Affairs",,Q244,,,,,,,
Q107718244,"Minister of Innovation, Science and Smart Technology",,Q244,,,,,,,
Q107718279,Minister of International Business and Industry,,Q244,,,,,,,
Q107718254,Minister of Labour and Social Partnership Relations,,Q244,,,,,,,
Q107718258,Minister of Legal Affairs,,Q244,,,,,,,
Q107718271,Minister of Maritime Affairs and the Blue Economy,,Q244,,,,,,,
Q113162863,Minister of National Security of Barbados,Q244,Q244,,,,,,,
Q107718256,Minister of People Empowerment and Elder Affairs,,Q244,,,,,,,
Q107718260,"Minister of Small Business, Entrepreneurship and Commerce",,Q244,,,,,,,
Q107718242,Minister of Tourism and International Transport,,Q244,,,,,,,
Q107718223,"Minister of Transport, Works and Maintenance",,Q244,,,,,,,
Q107718262,"Minister of Transport, Works and Water Resources",,Q244,,,,,,,
Q113162854,"Minister of Youth, Sports and Community Empowerment",Q244,Q244,,,,,,,
Q113162879,Minister in the Prime Minister's Office,Q244,Q244,,,,,,,
Q107718273,Minister in the Ministry of Economic Affairs and Investment,Q244,Q244,,,,,,,
Q107718281,Minister in the Ministry of Finance,,Q244,,,,,,,
Q107718251,Minister in the Ministry of Foreign Trade,,Q244,,,,,,,
Q107718249,"Minister in the Ministry of Housing, Lands and Rural Development",,Q244,,,,,,,
Q107718275,"Minister in the Ministry of Transport, Works and Maintenance",,Q244,,,,,,,
Q113162890,"Minister of State, Ministry of Health and Wellness",Q244,Q244,,,,,,,
Q107718238,"Parliamentary Secretary, Ministry of Education, Technological and Vocational Training",,Q244,,,,,,,
Q107718235,"Parliamentary Secretary, Ministry of People Empowerment and Elder Affairs",,Q244,,,,,,,
Q113162874,"Parliamentary Secretary, Ministry of Transport",Q244,Q244,,,,,,,
Q113162835,Leader of Government Business in The House of Assembly of Barbados,Q244,Q244,,,,,,,
Q113162834,Leader of Government Business in The Senate of Barbados,Q244,Q244,,,,,,,
Q109581180,President of the Senate of Barbados,,,,Q6594867,,,,,
Q96650191,Speaker of the Barbados Assembly,Q244,Q244,,Q6597914,,,,,
Q25138351,Chief Justice of Barbados,Q244,Q244,,,,,,,Chief Justice of Barbados
Q4818603,Attorney-General of Barbados,Q244,Q244,,,,,,,Attorney-General of Barbados
Q58060257,Governor of the Central Bank of Barbados,Q244,Q244,,,,,,,
Q85751933,Chief of Staff,,,,,,,,,Chief of Staff (Barbados)
